WKT,gid,access,addr:housename,addr:housenumber,amenity,brand,building,covered,disused,ele,highway,historic,layer,leisure,name,office,operator,power,ref,shop,sport,tourism
"POINT (-6.27754959912616 36.5229354956058)","7093370031",,,,cafe,,,,,,,,,,La Casita de Ana,,,,,,,
"POINT (-6.19424939913775 36.4758049956096)","4787158021",,,,cafe,,,,,,,,,,Cafetería La Estación,,,,,,,
"POINT (-6.20158449913673 36.5373539956046)","4142493071",,,,cafe,,,,,,,,,,Cafeteria de la ESI,,,,,,,
"POINT (-6.1946329991377 36.5274344956054)","3201232507",,,,cafe,,,,,,,,,,El Poeta,,,,,,,
"POINT (-6.19385449913781 36.5316036956051)","3220553821",,,,cafe,,,,,,,,,,La Cantina,,,,,,,
"POINT (-6.15209059914362 36.4160351956146)","5319649299",,,,cafe,,,,,,,,,,La estación del te,,,,,,,
"POINT (-6.14710469914432 36.4185453956144)","1568342555",,,,cafe,,,,,,,,,,Las Cuatro Esquinas,,,,,,,
"POINT (-6.14668089914437 36.4188669956144)","1568342535",,,,cafe,,,,,,,,,,Tetería La Morería,,,,,,,
"POINT (-6.14972789914395 36.4198929956143)","4261106890",,,,cafe,,,,,,,,,,La despensa del té,,,,,,,
"POINT (-6.15013919914389 36.4204609956142)","4261106889",,,,cafe,,,,,,,,,,Central,,,,,,,
"POINT (-6.14970129914395 36.4208145956142)","4247093027",,,,cafe,,,,,,,,,,El Pájaro Chico,,,,,,,
"POINT (-6.14943119914399 36.4204612956142)","1616831323",,,,cafe,,,,,,,,,,Hornos La Española,,,,,,,
"POINT (-6.1472251991443 36.4208315956142)","4261199390",,,,cafe,,,,,,,,,,Chico Valerio,,,,,,,
"POINT (-6.14460909914466 36.4216298956141)","4715544895",,,,cafe,,,,,,,,,,El Pájaro,,,,,,,
"POINT (-6.14307869914488 36.4214054956141)","4715538388",,,,cafe,,,,,,,,,,Café Café,,,,,,,
"POINT (-6.14412859914473 36.4249269956138)","2860207036",,,,cafe,,,,,,,,,,Café Bar CyC,,,,,,,
"POINT (-5.96441519916975 36.2530362956281)","6992348787",,,,cafe,,,,,,,,,,La Judería,,,,,,,
"POINT (-5.96541149916961 36.2535840956281)","4442371992",,,,cafe,,,,,,,,,,Pastelería Galvan,,,,,,,
"POINT (-5.96236309917003 36.253826295628)","3402033587",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-5.80966519919129 36.3427070956207)","3423934593",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-5.92770979917486 36.4568877956112)","3417771593",,,,cafe,,,,,,,,,,G&G,,,,,,,
"POINT (-5.72447969920314 36.460061195611)","2445863144",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-5.72428119920317 36.4602423956109)","2445863244",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-5.72364729920326 36.4630596956107)","2956894136",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-5.7234005992033 36.4631426956107)","2956894148",,,,cafe,,,,,,,,,,,,,,,,,
"POINT (-7.40850559896873 37.2121965955497)","6976337085",,,"10",cafe,,,,,,,,,,Churrería La Esperanza (1939),,,,,,,
"POINT (-7.40465069896926 37.2102954955499)","5028836224",,,,cafe,,,,,,,,,,Monteaya,,,,,,,
"POINT (-7.34242219897793 37.183977795552)","3095707914",,,"1",cafe,,,,,,,,,,Bicilandia Park,,,,,,,
"POINT (-7.32349549898056 37.1999916955507)","6979280085",,,,cafe,,,,,,,,,,Churrería Echate pa Yá,,,,,,,
"POINT (-7.21807229899524 37.20815279555)","5564377825",,,,cafe,,,,,,,,,,La Plaza Cafe Bar,,,,,,,
"POINT (-7.12785179900779 37.2184060955492)","6781232274",,,,cafe,,,,,,,,,,Panoramico,,,,,,,
"POINT (-7.12785429900779 37.2185203955492)","6781265396",,,,cafe,,,,,,,,,,Casa Blanca,,,,,,,
"POINT (-7.12797989900778 37.2186442955492)","6781253716",,,,cafe,,,,,,,,,,Luz de Mar,,,,,,,
"POINT (-7.12334089900842 37.2171902955493)","3762855659",,,,cafe,,,,,,,,,,Nautilus,,,,,,,
