	PROD:Oil Rate (H), sm3/day	INJECTOR:Water Injection Rate (H), sm3/day	PROD:Liquid Rate (H), sm3/day	PROD:Oil Total (H), sm3	PROD:Liquid Total (H), sm3	PROD:Water Rate (H), sm3/day	PROD:Gas Rate (H), sm3/day	PROD:Bottom Hole Pressure (H), Bars
13/04/2018 1:58	0	0	0	0	0	0	0	0
13/04/2018 7:58	0	0	0	0	0	0	0	0
13/04/2018 13:58	0	0	0	0	0	0	0	0
13/04/2018 19:58	0	0	0	0	0	0	0	0
14/04/2018 1:58	0	0	0	0	0	0	0	0
15/04/2018 1:58	0	0	0	0	0	0	0	0
16/04/2018 1:58	0	0	0	0	0	0	0	0
17/04/2018 1:58	0	0	0	0	0	0	0	0
18/04/2018 1:58	0	0	0	0	0	0	0	0
19/04/2018 1:58	0	0	0	0	0	0	0	0
20/04/2018 1:58	0	0	0	0	0	0	0	0
21/04/2018 1:58	0	0	0	0	0	0	0	0
22/04/2018 1:58	0	0	0	0	0	0	0	0
23/04/2018 1:58	0	0	0	0	0	0	0	0
24/04/2018 1:58	0	0	0	0	0	0	0	0
25/04/2018 1:58	0	0	0	0	0	0	0	0
26/04/2018 1:58	0	0	0	0	0	0	0	0
27/04/2018 1:58	0	0	0	0	0	0	0	0
28/04/2018 1:58	0	0	0	0	0	0	0	0
29/04/2018 1:58	0	0	0	0	0	0	0	0
30/04/2018 1:58	0	0	0	0	0	0	0	0
01/05/2018 1:58	0	0	0	0	0	0	0	0
02/05/2018 1:58	0	0	0	0	0	0	0	0
03/05/2018 1:58	0	0	0	0	0	0	0	0
04/05/2018 1:58	0	0	0	0	0	0	0	0
05/05/2018 1:58	0	0	0	0	0	0	0	0
06/05/2018 1:58	0	0	0	0	0	0	0	0
07/05/2018 1:58	0	0	0	0	0	0	0	0
08/05/2018 1:58	0	0	0	0	0	0	0	0
09/05/2018 1:58	0	0	0	0	0	0	0	0
10/05/2018	0	0	0	0	0	0	0	0
11/05/2018	0	0	1.6075	0	1.6075	1.6075	0	0
12/05/2018	0	0	1.6075	0	3.215	1.6075	0	0
13/05/2018	0	0	1.605	0	4.82	1.605	0	618.7729655
14/05/2018	0	0	1.5925	0	6.4125	1.5925	0	614.8402759
15/05/2018	0	0	1.5975	0	8.01	1.5975	0	612.1489655
16/05/2018	0	0	1.59	0	9.6	1.59	0	609.7555862
17/05/2018	0	0	1.585	0	11.185	1.585	0	607.113931
18/05/2018	0	0	1.58	0	12.765	1.58	0	604.9986207
19/05/2018	0	0	1.5675	0	14.3325	1.5675	0	602.9726897
20/05/2018	0	0	1.535	0	15.8675	1.535	0	601.2148966
21/05/2018	0	0	1.485	0	17.3525	1.485	0	602.8932414
22/05/2018	0	0	1.5475	0	18.9	1.5475	0	585.504
23/05/2018	0	0	1.5475	0	20.4475	1.5475	0	626.9362759
24/05/2018	0	0	1.6175	0	22.065	1.6175	0	626.9362759
